[t=  0] PL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] PSG1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] SL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN2, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL2, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN3, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN4, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] SL2, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL3, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN5, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN6, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL4, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN7, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN8, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t= 30] PL1, THIS IS PSG1: CONTACT, GRID 1343, 1 x ENEMY. OVER.
[t= 31] HQ, THIS IS PL1: CONTACT, GRID 1342, 2 x ENEMY. OVER.
[t= 54] SL2, THIS IS TL4: CONTACT, GRID 2628, 1 x ENEMY. OVER.
[t= 61] ALL STATIONS: TL4 IS DOWN. OUT.
[t= 61] ALL STATIONS, THIS IS RFN7: TL4 IS DOWN. I AM ASSUMING COMMAND. OUT.
[t= 63] SL1, THIS IS TL2: SITREP, GRID 2041, HEALTH 100%, AMMO 28, IN THE OPEN. OVER.
[t=158] TL2, THIS IS RFN4: SITREP, GRID 3240, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=163] PL1, THIS IS PSG1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=164] SL2, THIS IS TL3: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=167] PL1, THIS IS SL1: SITREP, GRID 3240, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=169] TL2, THIS IS RFN4: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=171] PL1, THIS IS SL1: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=176] TL2, THIS IS RFN4: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=181] TL3, THIS IS RFN5: SITREP, GRID 3240, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=182] SL1, THIS IS TL1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=187] TL2, THIS IS RFN4: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=189] HQ, THIS IS PL1: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=190] PL1, THIS IS SL2: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=191] TL1, THIS IS RFN1: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=192] TL2, THIS IS RFN3: SITREP, GRID 3039, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=205] TL2, THIS IS RFN4: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=207] TL2, THIS IS RFN3: SITREP, GRID 3039, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=217] SL1, THIS IS TL1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=218] HQ, THIS IS PL1: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=235] SL1, THIS IS TL2: SITREP, GRID 3140, HEALTH 100%, AMMO 28, IN THE OPEN. OVER.
[t=244] TL3, THIS IS RFN5: SITREP, GRID 3240, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=247] PL1, THIS IS SL1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=249] PL1, THIS IS SL1: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=250] TL3, THIS IS RFN5: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=255] TL1, THIS IS RFN1: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=257] HQ, THIS IS PL1: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=259] SL2, THIS IS RFN7: SITREP, GRID 2939, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=260] TL3, THIS IS RFN6: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=261] HQ, THIS IS PL1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=270] PL1, THIS IS PSG1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=271] TL3, THIS IS RFN6: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=274] PL1, THIS IS PSG1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=275] SL1, THIS IS TL1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=280] SL2, THIS IS RFN7: SITREP, GRID 3239, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=285] SL2, THIS IS RFN7: SITREP, GRID 3039, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=292] TL2, THIS IS RFN4: SITREP, GRID 3240, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=293] PL1, THIS IS SL2: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=294] TL1, THIS IS RFN1: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=296] TL3, THIS IS RFN5: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=309] TL3, THIS IS RFN5: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=311] SL1, THIS IS TL2: SITREP, GRID 3240, HEALTH 100%, AMMO 28, IN COVER. OVER.
[t=312] SL1, THIS IS TL1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=316] SL2, THIS IS TL3: SITREP, GRID 2840, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=317] SL1, THIS IS TL1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=333] SL2, THIS IS TL3: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=334] SL1, THIS IS TL2: SITREP, GRID 3240, HEALTH 100%, AMMO 28, IN COVER. OVER.
[t=343] TL2, THIS IS RFN3: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=345] TL3, THIS IS RFN6: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=353] PL1, THIS IS PSG1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=359] PL1, THIS IS SL2: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=364] PL1, THIS IS SL2: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=368] TL2, THIS IS RFN3: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=376] TL3, THIS IS RFN6: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=380] TL2, THIS IS RFN3: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=396] RFN7, THIS IS RFN8: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=397] PL1, THIS IS SL2: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=403] PL1, THIS IS SL2: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=412] TL2, THIS IS RFN4: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=416] PL1, THIS IS SL1: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=419] SL2, THIS IS RFN7: SITREP, GRID 3139, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=421] SL2, THIS IS TL3: SITREP, GRID 2940, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=423] SL1, THIS IS TL1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=434] TL1, THIS IS RFN1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=437] RFN7, THIS IS RFN8: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=439] TL2, THIS IS RFN3: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=446] SL1, THIS IS TL1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=451] TL2, THIS IS RFN4: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=452] TL3, THIS IS RFN6: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=453] SL1, THIS IS TL1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=454] SL2, THIS IS TL3: SITREP, GRID 3138, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=461] PL1, THIS IS SL2: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=465] TL3, THIS IS RFN6: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=466] TL1, THIS IS RFN1: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=468] SL1, THIS IS TL1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=470] PL1, THIS IS PSG1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=474] TL3, THIS IS RFN5: SITREP, GRID 3040, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=475] SL2, THIS IS TL3: SITREP, GRID 3138, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=476] SL2, THIS IS TL3: SITREP, GRID 3138, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=480] PL1, THIS IS SL1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=481] SL2, THIS IS TL3: SITREP, GRID 3138, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=484] TL3, THIS IS RFN6: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=485] PL1, THIS IS SL2: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=491] SL2, THIS IS TL3: SITREP, GRID 3038, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=496] TL3, THIS IS RFN6: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=499] TL3, THIS IS RFN5: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=502] PL1, THIS IS SL2: SITREP, GRID 3039, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=506] SL2, THIS IS RFN7: SITREP, GRID 3139, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=510] SL2, THIS IS RFN7: SITREP, GRID 3239, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=514] SL1, THIS IS TL1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=515] PL1, THIS IS PSG1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=520] SL1, THIS IS TL2: SITREP, GRID 3140, HEALTH 100%, AMMO 28, IN THE OPEN. OVER.
[t=524] PL1, THIS IS SL2: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=528] TL3, THIS IS RFN6: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=531] SL2, THIS IS RFN7: SITREP, GRID 3239, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=540] TL1, THIS IS RFN1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=541] PL1, THIS IS PSG1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=546] TL3, THIS IS RFN5: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=555] PL1, THIS IS PSG1: SITREP, GRID 3140, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=556] SL2, THIS IS TL3: SITREP, GRID 3038, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=557] SL1, THIS IS TL2: SITREP, GRID 3140, HEALTH 100%, AMMO 28, IN THE OPEN. OVER.
[t=566] PL1, THIS IS SL2: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=570] HQ, THIS IS PL1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=573] RFN7, THIS IS RFN8: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=575] TL2, THIS IS RFN3: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=577] SL2, THIS IS RFN7: SITREP, GRID 3139, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t=579] PL1, THIS IS SL1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=581] TL1, THIS IS RFN1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=582] TL2, THIS IS RFN3: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=587] TL1, THIS IS RFN1: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=591] HQ, THIS IS PL1: SITREP, GRID 3139, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=592] SL1, THIS IS TL1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
[t=596] SL1, THIS IS TL2: SITREP, GRID 3039, HEALTH 100%, AMMO 28, IN COVER. OVER.
